Position,Player Name,Team,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Hundreds,Fifties,Fours,Sixes,Image Link
157,Shivam Singh,PBKS,1,1,1,2,2*,-,3,66.66,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Shivam%20Singh.png?v=4
158,Naveen-Ul-Haq,LSG,10,3,3,2,2*,-,4,50.00,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Naveen-Ul-Haq.png?v=4
159,B R Sharath,GT,1,1,0,2,2,2.00,5,40.00,0,0,0,0,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=4
160,Vaibhav Arora,KKR,10,2,2,1,1*,-,1,100.00,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Vaibhav%20Arora.png?v=4
161,Shams Mulani,MI,2,1,1,1,1*,-,1,100.00,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Shams%20Mulani.png?v=4
162,Lockie Ferguson,RCB,7,1,0,1,1,1.00,1,100.00,0,0,0,0,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=4
163,Lizaad Williams,DC,2,1,1,1,1*,-,2,50.00,0,0,0,0,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=4
164,Keshav Maharaj,RR,2,1,0,1,1,1.00,2,50.00,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Keshav%20Maharaj.png?v=4
165,Manav Suthar,GT,1,1,0,1,1,1.00,2,50.00,0,0,0,0,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=4
166,Vyshak Vijaykumar,RCB,4,2,1,1,1*,1.00,3,33.33,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Vyshak%20Vijaykumar.png?v=4
167,Ishant Sharma,DC,9,2,2,1,1*,-,7,14.28,0,0,0,0,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=4
